ip,time,request,status,size,referrer,user_agent
175.44.24.82,2021-02-15 18:44:37,GET /product.screen?productId=WC-SH-A02&JSESSIONID=SD7SL9FF5ADFF5066 HTTP 1.1,200,1184,http://www.buttercupgames.com/oldlink?itemId=EST-16,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)
175.44.24.82,2021-02-15 18:44:38,GET /oldlink?itemId=EST-11&JSESSIONID=SD7SL9FF5ADFF5066 HTTP 1.1,200,1814,http://www.buttercupgames.com/category.screen?categoryId=TEE,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)
175.44.24.82,2021-02-15 18:44:39,GET /oldlink?itemId=EST-6&JSESSIONID=SD7SL9FF5ADFF5066 HTTP 1.1,200,1073,http://www.buttercupgames.com/oldlink?itemId=EST-6,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)
175.44.24.82,2021-02-15 18:44:40,POST /product.screen?productId=WC-SH-A01&JSESSIONID=SD7SL9FF5ADFF5066 HTTP 1.1,200,3067,http://www.buttercupgames.com/product.screen?productId=WC-SH-A01,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)
175.44.24.82,2021-02-15 18:44:41,GET /product.screen?productId=FI-AG-G08&JSESSIONID=SD7SL9FF5ADFF5066 HTTP 1.1,200,545,http://www.buttercupgames.com/category.screen?categoryId=ARCADE,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)
175.44.24.82,2021-02-15 18:44:41,POST /product.screen?productId=DC-SG-G02&JSESSIONID=SD7SL9FF5ADFF5066 HTTP 1.1,200,2239,http://www.buttercupgames.com/category.screen?categoryId=STRATEGY,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)
175.44.24.82,2021-02-15 18:44:42,POST /cart.do?action=addtocart&itemId=EST-12&productId=DC-SG-G02&JSESSIONID=SD7SL9FF5ADFF5066 HTTP 1.1,200,1324,http://www.buttercupgames.com/product.screen?productId=DC-SG-G02,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)
175.44.24.82,2021-02-15 18:44:44,POST /cart.do?action=purchase&itemId=EST-12&JSESSIONID=SD7SL9FF5ADFF5066 HTTP 1.1,200,2399,http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-12&categoryId=STRATEGY&productId=DC-SG-G02,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)
175.44.24.82,2021-02-15 18:44:44,POST /cart/success.do?JSESSIONID=SD7SL9FF5ADFF5066 HTTP 1.1,200,2378,http://www.buttercupgames.com/cart.do?action=purchase&itemId=EST-12,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)
175.44.24.82,2021-02-15 18:44:42,GET /product.screen?productId=MB-AG-T01&JSESSIONID=SD7SL9FF5ADFF5066 HTTP 1.1,200,273,http://www.buttercupgames.com/product.screen?productId=MB-AG-T01,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)
175.44.24.82,2021-02-15 18:44:42,GET /category.screen?categoryId=SHOOTER&JSESSIONID=SD7SL9FF5ADFF5066 HTTP 1.1,200,2922,http://www.buttercupgames.com/product.screen?productId=WC-SH-G04,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)
175.44.24.82,2021-02-15 18:44:42,POST /cart.do?action=view&itemId=EST-21&productId=WC-SH-G04&JSESSIONID=SD7SL9FF5ADFF5066 HTTP 1.1,200,675,http://www.buttercupgames.com/oldlink?itemId=EST-21,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; BOIE9;ENUS)
87.240.128.18,2021-02-15 18:51:17,GET /cart.do?action=changequantity&itemId=EST-17&productId=FS-SG-G03&JSESSIONID=SD3SL7FF10ADFF5088 HTTP 1.1,200,2013,http://www.google.com,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)
92.1.170.135,2021-02-15 19:06:04,GET /category.screen?categoryId=STRATEGY&JSESSIONID=SD7SL7FF4ADFF5142 HTTP 1.1,200,2413,http://www.buttercupgames.com,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)
92.1.170.135,2021-02-15 19:06:05,GET /product.screen?productId=FS-SG-G03&JSESSIONID=SD7SL7FF4ADFF5142 HTTP 1.1,200,988,http://www.buttercupgames.com/category.screen?categoryId=STRATEGY,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)
92.1.170.135,2021-02-15 19:06:06,POST /cart.do?action=addtocart&itemId=EST-6&productId=FS-SG-G03&JSESSIONID=SD7SL7FF4ADFF5142 HTTP 1.1,200,764,http://www.buttercupgames.com/product.screen?productId=FS-SG-G03,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)
92.1.170.135,2021-02-15 19:06:06,POST /cart.do?action=purchase&itemId=EST-6&JSESSIONID=SD7SL7FF4ADFF5142 HTTP 1.1,503,3203,http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-6&categoryId=STRATEGY&productId=FS-SG-G03,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2.28) Gecko/20120306 YFF3 Firefox/3.6.28 ( .NET CLR 3.5.30729; .NET4.0C)
176.212.0.44,2021-02-15 19:12:27,GET /product.screen?productId=CU-PG-G06&JSESSIONID=SD9SL8FF10ADFF5186 HTTP 1.1,200,1905,http://www.buttercupgames.com,"Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3"
176.212.0.44,2021-02-15 19:12:27,GET /category.screen?categoryId=TEE&JSESSIONID=SD9SL8FF10ADFF5186 HTTP 1.1,200,3452,http://www.buttercupgames.com/product.screen?productId=MB-AG-T01,"Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3"
176.212.0.44,2021-02-15 19:12:28,GET /category.screen?categoryId=SIMULATION&JSESSIONID=SD9SL8FF10ADFF5186 HTTP 1.1,200,2836,http://www.buttercupgames.com/cart.do?action=remove&itemId=EST-14&productId=SC-MG-G10,"Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3"
176.212.0.44,2021-02-15 19:12:30,GET /product.screen?productId=CU-PG-G06&JSESSIONID=SD9SL8FF10ADFF5186 HTTP 1.1,200,861,http://www.buttercupgames.com/category.screen?categoryId=SPORTS,"Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3"
176.212.0.44,2021-02-15 19:12:30,POST /cart.do?action=addtocart&itemId=EST-17&productId=CU-PG-G06&JSESSIONID=SD9SL8FF10ADFF5186 HTTP 1.1,200,3213,http://www.buttercupgames.com/product.screen?productId=CU-PG-G06,"Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3"
176.212.0.44,2021-02-15 19:12:30,POST /cart.do?action=purchase&itemId=EST-17&JSESSIONID=SD9SL8FF10ADFF5186 HTTP 1.1,200,853,http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-17&categoryId=SPORTS&productId=CU-PG-G06,"Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3"
176.212.0.44,2021-02-15 19:12:31,POST /cart/success.do?JSESSIONID=SD9SL8FF10ADFF5186 HTTP 1.1,200,2472,http://www.buttercupgames.com/cart.do?action=purchase&itemId=EST-17,"Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3"
176.212.0.44,2021-02-15 19:12:31,POST /oldlink?itemId=EST-15&JSESSIONID=SD9SL8FF10ADFF5186 HTTP 1.1,200,1237,http://www.buttercupgames.com/cart.do?action=addtocart&itemId=EST-15&productId=MB-AG-G07,"Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3"
